"Statistic Label","Month","Airports in Ireland","Country","Direction","Flight Type","UNIT","VALUE"
"Passengers","2021M06","All main airports","Canada","All directions","All flights","Thousand","0"
"Passengers","2021M06","All main airports","United States","All directions","All flights","Thousand","18.7"
"Passengers","2021M06","All main airports","Other America (5)","All directions","All flights","Thousand","0.3"
"Passengers","2021M06","All main airports","Africa (9)","All directions","All flights","Thousand","0"
"Passengers","2021M06","All main airports","Egypt","All directions","All flights","Thousand","0"
"Passengers","2021M06","All main airports","Morocco","All directions","All flights","Thousand","0"
"Passengers","2021M06","All main airports","Tunisia","All directions","All flights","Thousand","0"
"Passengers","2021M06","All main airports","Other Africa (6)","All directions","All flights","Thousand","0"
"Passengers","2021M06","All main airports","Asia (8)","All directions","All flights","Thousand","5"
"Passengers","2021M06","All main airports","Bahrain","All directions","All flights","Thousand","0"
"Passengers","2021M06","All main airports","Israel","All directions","All flights","Thousand","0"
